Name,Keywords,Result
Machine Learning,machine learning,"['Machine learning', 'What Is Machine Learning (ML)?', 'Machine learning', 'explained', 'What Is Machine Learning? Definition', 'Types', 'Applications ...', 'What Is Machine Learning? - MATLAB & Simulink', 'What Is Machine Learning? Definition', 'Types']"
Natural Language Processing,natural language processing,"['What Is Natural Language Processing?', 'Natural language processing', 'What is natural language processing? | Definition from ...', 'What is Natural Language Processing? Definition and ...', 'Natural Language Processing (NLP) [A Complete Guide]', 'Natural Language Processing - Overview', 'What is Natural Language Processing?', 'The Power of Natural Language Processing', 'Natural Language Processing (NLP): What Is It & How ...']"
Prompt Engineering for ChatGPT,"prompt engineering, chatgpt",['']
Supervised Machine Learning: Regression and Classification,"supervised machine learning, regression, classification","['What Is Supervised Learning?', 'Supervised learning', 'Supervised and Unsupervised learning', 'Supervised Machine Learning', 'Supervised Machine Learning', 'Supervised Machine learning', 'Supervised Learning | Machine Learning', 'Supervised Machine Learning | DataRobot AI Wiki', 'Supervised Learning', 'Regression analysis']"
Google Cybersecurity,google cybersecurity,"['Google Cybersecurity Certificate', 'Google Cybersecurity Professional Certificate', 'Google Cybersecurity Action Team', 'Google Cybersecurity Innovations', 'Google Cybersecurity Certificate', 'Cybersecurity Workforce Education', ""I took Google's Cybersecurity Certification and Here's What ..."", ""Is Google's Cybersecurity Certification Worth It? (Deep Dive & ..."", 'Google Cybersecurity Professional Certificate', 'New cybersecurity training to help build a safer world']"
Google Data Analytics,google data analytics,"['Google Data Analytics Professional Certificate', 'Data Analytics Certificate & Training', 'Google Analytics Academy', 'Data Analytics Certificate & Training', 'AI for Data Analytics', 'Has anyone landed a job after getting Google Data ...', 'Data Analytics | Google Cloud Blog', 'Google Advanced Data Analytics Professional Certificate', 'Analytics Tools & Solutions for Your Business', 'Is Google Data Analytics Certificate ACTUALLY Worth it 2023?']"
Google Digital Marketing & E-commerce,"google digital marketing, e, commerce","['Google - Fundamentals of Digital Marketing', 'Digital Marketing & E-commerce Certificate', 'Google Digital Marketing & E-commerce Professional ...', 'Fundamentals of digital marketing : Google - Skillshop', 'Online Courses and Digital Marketing Training', 'Google Digital Garage - Skillshop', 'Google Marketing Platform - Unified Advertising and Analytics', 'Foundations of Digital Marketing and E-commerce', 'E! News - E! Online', 'E! News']"
Google IT Automation with Python,"python, google, automation","['Welcome to Python.org', 'Python (programming language)', 'Python Tutorial', 'Online Python - IDE', 'Editor', 'Compiler', 'Interpreter', 'Python', 'Python - Visual Studio Marketplace', 'Google']"
Google IT Support,"support, google","['Support Definition & Meaning', 'Official Apple Support', 'SUPPORT | definition in the Cambridge English Dictionary', 'Microsoft Support', 'Google Help', 'SUPPORT Definition & Meaning', '334 Synonyms & Antonyms for SUPPORT', 'Contact - Official Apple Support', 'Stripe: Help & Support', 'Support - Definition']"
Google Project Management:,google project management,"['Project Management Certificate & Training', 'Google Project Management: Professional Certificate', 'Tips for project management - Google Workspace Learning ...', 'Task management - Google Workspace Marketplace', 'Purdue Global + Google Project Management Certificate', 'Will Google Project Management Certificate Actually Lead ...', 'How I passed the Google Project Management Certificate ...', 'Google Project Management Professional Certificate']"
Google SEO Fundamentals,google seo fundamentals,['']
Google UX Design,google ux design,"['Google UX Design Certificate', 'Google UX Design Professional Certificate', 'My Review on Google UX Design Certificate | by Ilma Andrade', 'What do you guys think about Google UX Design ...', 'Google User Experience (UX) Certificate', 'Design - Google Careers', 'Foundations of User Experience (UX) Design', '1 year after Google UX Design Certificate - Job?', 'Google UX Design Certificate', 'ï¿½ï¿½ï¿½ï¿½ LIVE: Google UX Design Certificate ']"
Intuit Academy Bookkeeping,intuit academy bookkeeping,"['Intuit Academy', 'Intuit Academy Bookkeeping Professional Certificate', 'Intuit Bookkeeping Certification', 'Intuit Academy', 'Intuit Online Courses', ""To anyone who's taken the Bookkeeping Exam through ..."", 'Become a Bookkeeper in 1 Month or Less (guest QuickBooks ...', 'Online Course: Intuit Academy Bookkeeping from Intuit', 'Which is better in Coursera', ""'Intuit Academy Bookkeeping ...""]"
Python for Everybody,"python, everybody","['Welcome to Python.org', 'Python (programming language)', 'Python Tutorial', 'Online Python - IDE', 'Editor', 'Compiler', 'Interpreter', 'Python', 'Python - Visual Studio Marketplace', 'Nicki Minaj - Everybody (feat. Lil Uzi Vert) [Official Audio]']"
UI / UX Design,"ux design, ui","['What is User Experience (UX) Design? | IxDF', 'What Is UX Design? The Complete Guide', 'UX Design: A Complete Guide on What It Is', 'Google UX Design Professional Certificate', 'What is UX design? Skills', 'tools', 'and advice', 'User experience design', 'What Does a UX Designer Actually Do? [2024 Guide]', 'What Does a UX Designer Do?']"
Meta Front-End Developer,"meta front, end developer","['Meta Front-End Developer Professional Certificate', 'Front-End Developer and Back-End Developer Career ...', ""Meta's Front End Dev certification worth it? : r/Frontend"", 'Meta Front-End Developer Professional Certificate', 'Introduction to Front-End Development Course by Meta', '""Meta Front End Developer Professional Certificate ...', 'Meta Front-End Developer Certificate', 'Online Course: Meta Front-End Developer from Meta', 'What Is a Front-End Developer?', 'What Does a Front-End Developer Do?']"
Learn SQL Basics for Data Science,"learn sql basics, data science","['SQL Tutorial', 'Learn SQL', 'SQL Introduction', 'Best way to learn SQL', 'Unit 3: Intro to SQL: Querying and managing data', 'SQL Tutorial - Essential SQL For The Beginners', 'SQL Tutorial', 'SQL Tutorial', 'Data science', 'What is Data Science?']"
PostgreSQL for Everybody,"postgresql, everybody","[""PostgreSQL: The world's most advanced open source database"", 'PostgreSQL', 'What is PostgreSQL? ï¿½ï¿½ï¿½ Amazon Web Services', 'What Is PostgreSQL?', 'PostgreSQL Tutorial', 'PostgreSQL Tutorial', 'Nicki Minaj - Everybody (feat. Lil Uzi Vert) [Official Audio]', ""Backstreet Boys - Everybody (Backstreet's Back) (Lyrics)"", 'Everybody Definition & Meaning', 'Nicki Minaj - Everybody']"
Oracle SQL Databases,oracle sql databases,"['Database', 'Database Technologies', 'SQL Language', 'Oracle Database', 'Databases | Oracle Developer', 'What Is an Oracle Database? - IT Glossary', 'Introduction to Oracle SQL', 'SQL Developer', 'Introduction to Oracle Database', 'Oracle SQL Databases Specialization']"
IBM Data Science,ibm data science,"['IBM Data Science Professional Certificate', 'What is Data Science?', 'Getting Started with Enterprise Data Science', 'IBM Data Science Professional Certificate', 'Jobs in Data & Analytics team | IBM Careers', 'Badge: Data Science Professional Certificate', 'IBM Data Analyst Professional Certificate', ""A Very Subjective Review of IBM's Data Science ..."", 'Data Science Tools & Solutions']"
IBM Data Analyst,ibm data analyst,"['IBM Data Analyst Professional Certificate', 'Jobs in Data & Analytics team | IBM Careers', 'Badge: Data Analyst Professional Certificate', 'Data', 'IBM Data Analyst Jobs', 'Big Data Analytics', 'IBM - Data Analyst Professional Certificate', 'IBM Data Analytics with Excel and R Professional Certificate', 'Total Salary Range for IBM Data Analyst']"
IBM DevOps and Software Engineering,"software engineering, ibm devops","['What is Software Engineering?', 'Software engineering', 'What Does a Software Engineer Do?', 'What is software engineering?', 'What Is a Software Engineer? | Skills and Career Paths', 'Introduction to Software Engineering', 'Software Developers', 'Quality Assurance Analysts', 'and ...', 'Software Engineering Tutorial']"
IBM Full Stack Software Developer,ibm full stack software developer,"['IBM Full Stack Software Developer Professional Certificate', 'Launch a new career path with the IBM Full-Stack ...', 'IBM - Full Stack Developer Professional Certificate', 'Courses', 'IBM Full Stack Software Developer Jobs', 'IBM Full-Stack JavaScript Developer Professional Certificate', 'Online Course: IBM Full Stack Software Developer from IBM', 'Jumpstart your Career in Cloud Application Development', 'IBM Full Stack Software Developer Professional Certificate']"
Introduction to Data Science,"data science, introduction","['Data science', 'What is Data Science?', 'What is Data Science? - UC Berkeley Online', 'Best Data Science Courses Online [2024]', 'What is Data Science? A Simple Explanation and More', 'What Is Data Science? Definition', 'Examples', 'Jobs', 'and More', 'Data Scientists : Occupational Outlook Handbook']"
IBM Data Engineering,ibm data engineering,"['IBM Data Engineering Professional Certificate', 'IBM Data Engineering Professional Certificate', 'IBM Certified Data Engineer - Big Data - IBM Training', 'Data Engineering Professional Certificate', 'Introduction to Data Engineering Course by IBM', 'Badge: Data Engineering Professional Certificate (V2)', 'IBM: Data Engineering Basics for Everyone', 'IBM Data Engineering Professional Certificate', 'IBM Data Engineering Certificate Online']"
Data Science Fundamentals with Python and SQL,"data science fundamentals, sql, python","['Data Science Fundamentals', 'Data Science Fundamentals Specialization', 'Data Science Fundamentals', 'Data Science Fundamentals Certificate', 'Data Science Fundamentals with Python and SQL ...', 'Data Science Foundations', 'The Fundamentals of Data Science: A Guide for Beginners', 'Data Science Fundamentals Course', 'Basics of Data Science for Beginners| Data Science ...', 'Data Science & Machine Learning Fundamentals']"
Key Technologies for Business,"key technologies, business","['Key Technology: Food Processing Equipment Manufacturer', 'Key Tech: Product Design and Development', 'Key Tech Inc.', 'Locations', 'Key Technology Solutions: Managed IT Services in Wixom', 'MI', 'Conveying', 'Key Technology', 'Key Technologies: Home', 'Key Technologies | Digital transformation']"
Prompt Engineering,prompt engineering,"['What is prompt engineering?', 'Prompt Engineering Guide', 'Prompt engineering - OpenAI API', 'Prompt engineering', 'What Is Prompt Engineering?', ""AI Prompt Engineering Isn't the Future"", 'What Is Prompt Engineering? Definition and Examples', 'What is Prompt Engineering?']"
IBM & Darden Digital Strategy,"darden digital strategy, ibm","['UVA Darden Partners With IBM to Launch Online Program in ...', 'IBM & Darden Digital Strategy Specialization', 'Digital Business Strategy Course by University of Virginia', 'New Book From UVA Darden Professor Offers Tools to Tackle ...', 'IBM & Darden Digital Strategy from University of Virginia', 'UVA Darden Partners With IBM to Launch Online Program ...', 'IBM & Darden Digital Strategy - SkillBuilder', 'IBM & Darden Digital Strategy', 'Digital Business Strategy from University of Virginia', 'Ira Agarwal - IBM & Darden Digital Strategy']"
Data Engineering Foundations,data engineering foundations,"['Data Engineering Foundations Specialization', 'Data Engineering Foundations Online Class', 'Badge: Data Engineering Foundations', 'Top 13 Data Engineering Courses (2024 Edition)', 'Data Engineering Fundamentals Professional Certificate', 'Data Engineering Foundations LiveLessons Part 1', 'Introduction to Data Engineering Course by IBM', 'Online Course: Data Engineering Foundations from IBM', 'Professional Certificate in Data Engineering Foundations']"
IBM AI Foundations for Business,"ibm ai foundations, business","['Badge: Artificial Intelligence Foundations Specialization', 'Badge: AI Foundations - IBM Training - Global', 'IBM AI Foundations for Business Specialization', 'AI Foundations for Everyone Specialization [3 courses] (IBM)', 'AI Foundations', 'a collaboration of ISTE and IBM', 'Foundations of AI Professional Certificate', 'Badge: IBM AI Foundations for Business Specialization', 'IBM: AI for Everyone: Master the Basics', 'Foundation Models - IBM watsonx.ai']"
IBM Data Analytics with Excel and R,"ibm data analytics, r, excel","['IBM Data Analyst Professional Certificate', 'Badge: Data Analyst Professional Certificate', 'Analytics Tools and Solutions', 'Big Data Analytics', 'IBM Data Analytics with Excel and R Professional Certificate', 'Data and Analytics', 'IBM - Data Analyst Professional Certificate', 'Data', 'The R Project for Statistical Computing', 'R (programming language)']"
IBM Back-End Development,"ibm back, end development","['Return to the Workforce with the IBM Tech Re-Entry Program', 'IBM Back-End Development Professional Certificate', 'Launch a new career path in less than 6 months with the ...', 'IBM US Return to Office Policy', 'Return to office or quit', 'IBM tells managers', 'IBM Cloud Backup', 'IBM to managers: Move close to an office or quit', 'IBM to Managers: Move Near an Office or Leave Company', 'IBM Back-end JavaScript Developer Professional Certificate']"
Applied Data Science,applied data science,"['Applied Data Science Specialization [5 courses] (IBM)', 'Applied Data Science Program for Working Professionals', 'Applied Data Science with Python Specialization', ""Master's in Applied Data Science | DSI"", 'Join the Applied Data Science Lab', 'MIT Online Applied Data Science Certificate Program [12 ...', 'Master of Applied Data Science - UMSI - University of Michigan', ""Applied Data Science Master's Degree"", 'Master of Science in Applied Data Analytics | BU MET']"
Data Analysis and Visualization Foundations,"visualization foundations, data analysis","['Data Visualization: Best Practices and Foundations', 'Visualization Foundations', 'Fundamentals of Data Visualization', 'Interactive Data Visualization: Foundations', 'Techniques ...', 'Interactive Data Visualization: Foundations', 'Techniques ...', 'DATA 860 (01) - Data Visualization Foundations', 'Data Visualization Foundations - Stamen Design', 'Data Analysis and Visualization Foundations Specialization']"
Applied Software Engineering Fundamentals,applied software engineering fundamentals,"['Applied Software Engineering Fundamentals Specialization', 'Applied Software Engineering Fundamentals from IBM', 'Applied Software Engineering Fundamentals', 'Applied Software Engineering Fundamentals', '8 Best Software Engineering Courses On Coursera For 2024', 'How to Learn the Fundamentals of Software Engineering', 'Applied Software Engineering Fundamentals Specialization', 'Bachelor of Science in Applied Software Engineering', 'IBM: Software Engineering Basics for Everyone', 'Applied Software Engineering 1: What you learn in University']"
Cloud Application Development Foundations,cloud application development foundations,"['Cloud Application Development Foundations Specialization', 'IBM - Cloud and Application Development Foundations', 'Cloud Application Development Foundations from IBM', 'Build Cloud Applications | Google Cloud Training', 'Cloud and Application Development Foundations from IBM', 'Cloud Application Development Foundations', 'Cloud Foundations Online Training Courses', 'Jumpstart your Career in Cloud Application Development', 'Cloud Application Developer - Foundation', 'Cloud Native Foundations Course']"
AI Foundations for Everyone,"ai foundations, everyone","['AI Foundations ï¿½ï¿½ï¿½ Templates', 'prompts', 'courses.', 'AI Foundations', 'AI Foundations for Everyone Specialization [3 courses] (IBM)', 'AI Foundation', 'AI Foundations Curriculum', 'AI Foundations', 'AI Foundations (Certificate Program) - IT Training', 'Artificial Intelligence Foundations Online Training Courses']"
"DevOps, Cloud, and Agile Foundations","agile foundations, devops, cloud","['Agile Foundations Online Class', 'Agile Foundations', 'Agile Knowledge: The foundations', 'Agile Foundations: Fundamentals - Agile - BEGINNER', 'Understanding agile - Agile Foundations Video Tutorial', 'Agile Foundations', 'Foundations of Agile', 'Part I - Digital.gov', 'Agile and Scrum Foundation', 'Agile Foundations for Developers']"
Google Advanced Data Analytics,google advanced data analytics,"['Google Advanced Data Analytics Professional Certificate', 'Advanced Google Analytics', 'Data Analytics Certificate & Training', 'New advanced Google Career Certificates in data analytics', 'Review of Google Advanced Data Analysis Certificate ...', 'Google Advanced Data Analytics Capstone', 'The Google Advanced Data Analytics Certificate ...', ""Review ï¿½ï¿½ï¿½ Is Google's Advanced Data Analyti""]"
IBM and ISC2 Cybersecurity Specialist,"isc2 cybersecurity specialist, ibm","['Cybersecurity Certifications', 'IBM and ISC2 Cybersecurity Specialist Professional ...', 'Certified in Cybersecurity Certification', 'ISC2: Cybersecurity Certifications and Continuing Education', 'ISC2', 'IBM and Coursera Partner on Cybersecurity Certificate', 'IBM', 'ISC2 Offer Cybersecurity Certificate', 'Launch Your Cybersecurity Career with the IBM and ISC2 ...', 'ISC2 Collaborates with IBM to Launch Entry-Level ...']"
IBM IT Support,"support, ibm","['Support Definition & Meaning', 'Official Apple Support', 'SUPPORT | definition in the Cambridge English Dictionary', 'Microsoft Support', 'Google Help', 'SUPPORT Definition & Meaning', '334 Synonyms & Antonyms for SUPPORT', 'Contact - Official Apple Support', 'Stripe: Help & Support', 'Support - Definition']"
Information Technology (IT) and Cloud Fundamentals,"information technology, cloud fundamentals","['What is Information Technology? Definition and Examples', 'What is Information Technology | Info on IT Careers and Certs', 'What is Information Technology? 2024 Guide', 'What is Information Technology?', 'What Is IT? Information Technology Explained', ""What Is Information Technology? A Beginner's Guide ..."", 'Information Technology | NIST', 'Information Technology | Definition and Overview', 'Information Technology - Chicago', 'Cloud Fundamentals: Everything You Need To Know']"
IBM IT Project Manager,"project manager, ibm","['ProjectManager: Project & Work Management Software', 'What is a Project Manager & What Do They Do?', 'Project Management Specialists', 'Project manager', 'How To Become A Project Manager: The 2024 Guide', 'What does a Project Manager do', 'Getting Started as a Project Manager Learning Path', 'What is a Project Manager? Understanding Roles and ...', 'What does a project manager do?', 'IBM - United States']"
IBM Data Warehouse Engineer,ibm data warehouse engineer,"['IBM Data Warehouse Engineer Professional Certificate', 'IBM Data Engineering Professional Certificate', 'IBM - Data Warehouse Engineering Professional Certificate', 'IBM Certified Solution Architect - Data Warehouse V1', 'Professional Certificate Data Engineering from IBM', 'IBM Data Engineering Professional Certificate', 'Online Course: IBM Data Warehouse Engineer from IBM', 'IBM Data Warehouse Engineer Jobs']"
IBM AI Engineering,ibm ai engineering,"['IBM AI Engineering Professional Certificate', 'Badge: IBM AI Engineering Professional Certificate', 'from novice to skilled AI engineer!', 'I took the IBM AI Engineering Professional Certificate on ...', 'IBM AI Developer Professional Certificate', 'IBM AI Engineering Professional Certificate Online', 'Online Course: IBM AI Engineering from IBM', 'AI and watsonx Jobs | IBM Careers']"
"BI Foundations with SQL, ETL and Data Warehousing","data warehousing, bi foundations, sql, etl","['What Is a Data Warehouse?', 'Data warehouse', 'What is a Data Warehouse?', 'What is a Data Warehouse?', 'Data Warehouse', 'Data Warehousing', 'Definition: Data Warehousing', 'Data Warehouse: Definition', 'Uses', 'and Examples']"
Mathematics for Machine Learning and Data Science,"machine learning, data science, mathematics","['Machine learning', 'What Is Machine Learning (ML)?', 'Machine learning', 'explained', 'What Is Machine Learning? Definition', 'Types', 'Applications ...', 'What Is Machine Learning? - MATLAB & Simulink', 'What Is Machine Learning? Definition', 'Types']"
IBM IT Scrum Master,"scrum master, ibm","['What is a Scrum Master?', 'What Is a Scrum Master (and How Do I Become One)?', 'What is a ScrumMaster and What Do They Do?', 'What is a Scrum Master? | Job Description and ...', 'What Is a Scrum Master? What It Takes to be a Certified ...', 'What is a Scrum master? | Definition from TechTarget', 'Certified ScrumMaster (CSM) Certification', 'What is a Scrum master? A key role for project success', 'IBM - United States', 'IBM']"
IBM Project Manager,ibm project manager,"['Project and Product Management Jobs | IBM Careers', 'IBM Project Manager Professional Certificate', 'Launch Your Project Management Career with the ...', 'IBM IT Project Manager Professional Certificate', 'Is the IBM IT Project Manager Professional Certificate worth ...', 'Total Salary Range for IBM Project Manager', '55 Ibm Project Manager jobs in New York City Metropolitan ...', 'Working as a Project Manager at IBM - Employee Reviews', 'IBM Project Manager Jobs']"
IBM Front-End Developer,"ibm front, end developer","['IBM Front-End Developer Professional Certificate', 'Launch Your Front-End Development Career with the ...', 'Front-end development - Resources and Tools', 'IBM Front End Developer Jobs', '49 Ibm Front End Developer jobs in United States (4 new)', 'Front-end development Patterns', 'Online Course: IBM Front-End Developer from IBM', 'Front-end development - Tutorials', 'Comparing Meta vs IBM Front-End Developer Professional ...', 'What Is a Front-End Developer?']"
IBM Cybersecurity Analyst,ibm cybersecurity analyst,"['IBM Cybersecurity Analyst Professional Certificate', 'Badge: IBM Cybersecurity Analyst Professional Certificate', 'Cybersecurity Analyst - IBM Training - Global', 'Apply for IBM Cybersecurity Analyst Professional Jobs Today', 'Launch your career in cybersecurity with the ...', 'Cybersecurity Analyst Professional Certificate', 'Elevate Your Career: Become a Cybersecurity Analyst!', 'Cybersecurity', 'Is IBM Cybersecurity Analyst Certificate Worth It? (2024 ...']"
Business Foundations,business foundations,"['Business Foundations Specialization [6 courses] (Penn)', 'Business Foundations Certificate Program Online | Wharton', 'UBCx: Business Foundations', 'Business Foundations - Sage Learning Resources', 'Business Foundations Courses | University Extension', 'Business Foundations - Finance - Courses', 'Business Foundations Certificate', 'Business Foundations', 'Post-Baccalaureate Certificate', 'Business Foundations: A Changing World']"
IBM Applied DevOps Engineering,ibm applied devops engineering,"['IBM Applied DevOps Engineering Professional Certificate', 'Boost Your Career with the IBM Applied DevOps ...', 'DevOps and Software Engineering Professional Certificate', 'IBM DevOps and Software Engineering Professional ...', 'Discover the In-Demand Skills to Advance from ...', 'Online Course: IBM Applied DevOps Engineering from IBM', 'IBM DevOps and Software Engineering', 'IBM DevOps and Software Engineering Professional ...', 'What Is DevOps? | IBM', 'Cognitive Class on LinkedIn: IBM Applied DevOps ...']"
AI in Healthcare,"healthcare, ai",['']
Meta Social Media Marketing,meta social media marketing,"['Meta Social Media Marketing Professional Certificate', 'Social Media Marketing Professional Certificate', 'Introduction to Social Media Marketing Course by Meta', 'Professional Certificate Exams from Meta | Meta for Business', 'Meta Social Media Marketing Professional Certificate', 'Meta Social Media Marketing Professional Certificate', 'Introduction to Social Media Marketing from Facebook', 'Online Course: Meta Social Media Marketing from Facebook', 'Hey quick question has anyone gotten the Meta Social ...']"
IT Fundamentals for Cybersecurity,"fundamentals, cybersecurity","['Fundamental Definition & Meaning', 'What Are Fundamentals? Types', 'Common Analysis Ratios', '...', 'FUNDAMENTAL Synonyms: 148 Similar and Opposite Words', 'Fundamentals: Ten Keys to Reality: Wilczek', 'Frank', 'The Fundamentals: Thoughtfully designed kitchenware ...', 'FUNDAMENTAL Definition & Meaning', '93 Synonyms & Antonyms for FUNDAMENTAL']"
DeepLearning.AI TensorFlow Developer,"ai tensorflow developer, deeplearning","['DeepLearning.AI TensorFlow Developer Professional ...', 'TensorFlow Developer Professional Certificate', 'Receive the TensorFlow Developer Certificate', 'williamcwi/DeepLearning.AI-TensorFlow-Developer ...', 'DeepLearning.AI TensorFlow Developer', 'Machine learning education', 'Introduction to TensorFlow for Artificial Intelligence', '...', 'My Journey To Becoming a TensorFlow Certified Developer', 'TensorFlow']"
Meta React Native,meta react native,"['Meta React Native Specialization [8 courses] (Meta)', 'React Native ï¿½ï¿½ Learn once', 'write anywhere', 'React', 'React Native Course by Meta', 'React Native', 'Showcase ï¿½ï¿½ React Native', 'Online Course: Meta React Native from Meta', 'Meta React Native Specialization by Coursera', 'Free Course: React Native f']"
Introduction to Finance and Accounting,"introduction, finance, accounting","['INTRODUCTION Definition & Meaning', 'Introduction (writing)', 'Introduction Definition & Meaning', 'How to Write an Introduction', 'With Examples', 'Introductions - UNC Writing Center', 'Introduction - Definition', 'Meaning & Synonyms', 'Writing a Good Introduction', 'INTRODUCTION Synonyms: 33 Similar and Opposite Words']"
Machine Learning Engineering for Production (MLOps),"machine learning engineering, production, mlops","['start [Machine Learning Engineering]', 'What Is a Machine Learning Engineer? (+ How to Get ...', 'Machine Learning Engineering: Burkov', 'Andriy', 'What Is a Machine Learning Engineer (ML Engineer)?', 'What is a Machine Learning Engineer? The Ultimate Guide', 'Class Roster - Fall 2022 - CS 5781 - Cornell University', 'Professional ML Engineer Certification | Learn', 'What Is a Machine Learning Engineer? (2024 Guide)', 'Machine Learning Engineering | PNNL']"
Finance & Quantitative Modeling for Analysts,"quantitative modeling, finance, analysts","['Fundamentals of Quantitative Modeling', 'What is Quantitative modeling: Definition', 'tools and users', 'Spotlight on BBA in Statistics & Quantitative Modeling', 'The 10 Top Types Of Quantitative Modeling Jobs', ""How quantitative models canï¿½ï¿½ï¿½and can'tï¿½ï¿½ï¿½explain the world"", 'Finance & Quantitative Modeling for Analysts Specialization', 'Introduction to Quantitative Modeling: Linear Models', 'Fundamentals of Quantitative Modeling | undefined', 'Stock Market Prices']"
Meta Back-End Developer,"meta back, end developer","['Meta Back-End Developer Professional Certificate', 'Front-End and Back-End Developer Certificates', 'Meta Back-End Developer Professional Certificate', 'Meta Back-End Developer Certificate', 'Meta Back-End Developer Professional Certificate', 'Online Course: Meta Back-End Developer from Meta', 'Meta and Coursera just released a Backend Developer ...', 'Meta Back-End Developer Certificate Review', 'What Is a Front-End Developer?', 'What Does a Front-End Developer Do?']"
Meta Android Developer,meta android developer,"['Meta Android Developer Professional Certificate', 'Software Engineer', 'Android', 'My review on Meta Android Developer Professional Certificate ...', 'Mobile App Developer Professional Certificates Online ...', 'Online Course: Meta Android Developer from Meta', 'Mobile Engineering at Facebook', 'Meta Android Developer Certificate', 'I want to ask about the Meta Android Developer ...', 'Meta Android Developer Jobs']"
Meta iOS Developer,meta ios developer,"['Meta iOS Developer Professional Certificate', 'Meta ios developer professional certificate (Coursera) : r/swift', ""I did Meta's iOs Developer Professional Certificate on ..."", 'Is the Meta iOS development professional certificate worth it?', 'Mobile App Developer Professional Certificates Online ...', 'Software Engineer', 'iOS', 'Meta Ios Developer Jobs', 'iOS Archives', 'Meta iOS Developer Certificate']"
Preparing for Google Cloud Certification: Cloud Engineer,"google cloud certification, cloud engineer, preparing","['Google Cloud Certification', 'Google Cloud Courses and Training', 'Google Cloud Certification: 2024 Guide', 'About Google Cloud Certifications', 'Google Cloud Certification Path', 'Preparation', 'Salary', 'Cloud Certification Help', 'Google Cloud Certified Directory', 'GCP Associate Cloud Engineer - Google Cloud Certification']"
